     Time	   ECG1	   ECG2
[09:56:29.070]	 -0.055	  0.005
[09:56:29.078]	 -0.035	  0.015
[09:56:29.086]	 -0.045	  0.005
[09:56:29.094]	 -0.035	  0.025
[09:56:29.102]	 -0.015	  0.025
[09:56:29.109]	 -0.035	  0.015
[09:56:29.117]	 -0.015	  0.035
[09:56:29.125]	  0.015	  0.045
[09:56:29.133]	  0.015	  0.045
[09:56:29.141]	  0.035	  0.035
[09:56:29.148]	  0.055	  0.015
[09:56:29.156]	  0.045	  0.015
[09:56:29.164]	  0.045	  0.015
[09:56:29.172]	  0.025	  0.015
[09:56:29.180]	 -0.025	 -0.005
[09:56:29.188]	 -0.055	 -0.025
[09:56:29.195]	 -0.075	 -0.025
[09:56:29.203]	 -0.075	 -0.035
[09:56:29.211]	 -0.075	 -0.035
[09:56:29.219]	 -0.095	 -0.035
[09:56:29.227]	 -0.135	 -0.015
[09:56:29.234]	 -0.135	  0.145
[09:56:29.242]	  0.125	  0.325
[09:56:29.250]	  0.525	  0.365
[09:56:29.258]	  0.775	 -0.095
[09:56:29.266]	  0.255	 -0.625
[09:56:29.273]	  0.005	 -0.315
[09:56:29.281]	 -0.055	 -0.105
[09:56:29.289]	 -0.075	 -0.085
[09:56:29.297]	 -0.105	 -0.055
[09:56:29.305]	 -0.135	 -0.045
[09:56:29.313]	 -0.125	 -0.035
[09:56:29.320]	 -0.135	 -0.025
[09:56:29.328]	 -0.135	 -0.025
[09:56:29.336]	 -0.135	 -0.015
[09:56:29.344]	 -0.135	 -0.015
[09:56:29.352]	 -0.135	 -0.005
[09:56:29.359]	 -0.135	 -0.005
[09:56:29.367]	 -0.135	  0.005
[09:56:29.375]	 -0.115	  0.015
[09:56:29.383]	 -0.105	  0.015
[09:56:29.391]	 -0.115	  0.015
[09:56:29.398]	 -0.125	  0.005
[09:56:29.406]	 -0.125	  0.015
[09:56:29.414]	 -0.115	  0.035
[09:56:29.422]	 -0.105	  0.045
[09:56:29.430]	 -0.095	  0.055
[09:56:29.438]	 -0.085	  0.065
[09:56:29.445]	 -0.055	  0.105
[09:56:29.453]	 -0.015	  0.075
[09:56:29.461]	 -0.025	  0.105
[09:56:29.469]	 -0.035	  0.115
[09:56:29.477]	 -0.015	  0.075
[09:56:29.484]	 -0.055	  0.095
[09:56:29.492]	 -0.035	  0.105
[09:56:29.500]	 -0.015	  0.095
[09:56:29.508]	 -0.025	  0.075
[09:56:29.516]	 -0.025	  0.055
[09:56:29.523]	 -0.035	  0.035
[09:56:29.531]	 -0.055	  0.015
[09:56:29.539]	 -0.055	  0.015
[09:56:29.547]	 -0.065	  0.005
[09:56:29.555]	 -0.065	 -0.005
[09:56:29.563]	 -0.075	 -0.015
[09:56:29.570]	 -0.065	 -0.005
[09:56:29.578]	 -0.065	  0.005
[09:56:29.586]	 -0.055	  0.005
[09:56:29.594]	 -0.055	 -0.025
[09:56:29.602]	 -0.085	  0.015
[09:56:29.609]	 -0.045	 -0.015
[09:56:29.617]	 -0.135	 -0.015
[09:56:29.625]	 -0.105	 -0.005
[09:56:29.633]	 -0.095	 -0.015
[09:56:29.641]	 -0.075	 -0.005
[09:56:29.648]	 -0.065	 -0.005
[09:56:29.656]	 -0.065	  0.005
[09:56:29.664]	 -0.065	  0.005
[09:56:29.672]	 -0.055	  0.005
[09:56:29.680]	 -0.045	  0.025
[09:56:29.688]	 -0.015	  0.035
[09:56:29.695]	  0.005	  0.045
[09:56:29.703]	  0.005	  0.025
[09:56:29.711]	  0.035	  0.025
[09:56:29.719]	  0.025	  0.015
[09:56:29.727]	  0.015	  0.005
[09:56:29.734]	 -0.025	  0.005
[09:56:29.742]	 -0.055	 -0.015
[09:56:29.750]	 -0.085	 -0.025
[09:56:29.758]	 -0.095	 -0.025
[09:56:29.766]	 -0.105	 -0.035
[09:56:29.773]	 -0.105	 -0.025
[09:56:29.781]	 -0.105	 -0.035
[09:56:29.789]	 -0.145	  0.005
[09:56:29.797]	 -0.145	  0.165
[09:56:29.805]	  0.125	  0.275
[09:56:29.813]	  0.625	  0.245
[09:56:29.820]	  0.605	 -0.225
[09:56:29.828]	  0.115	 -0.585
[09:56:29.836]	 -0.065	 -0.275
[09:56:29.844]	 -0.105	 -0.105
[09:56:29.852]	 -0.125	 -0.045
[09:56:29.859]	 -0.165	 -0.045
[09:56:29.867]	 -0.175	 -0.035
[09:56:29.875]	 -0.165	 -0.035
[09:56:29.883]	 -0.165	 -0.035
[09:56:29.891]	 -0.165	 -0.025
[09:56:29.898]	 -0.175	 -0.025
[09:56:29.906]	 -0.165	 -0.025
[09:56:29.914]	 -0.165	 -0.015
[09:56:29.922]	 -0.175	 -0.015
[09:56:29.930]	 -0.165	 -0.005
[09:56:29.938]	 -0.155	 -0.005
[09:56:29.945]	 -0.145	  0.005
[09:56:29.953]	 -0.145	  0.005
[09:56:29.961]	 -0.145	  0.015
[09:56:29.969]	 -0.145	  0.025
[09:56:29.977]	 -0.125	  0.015
[09:56:29.984]	 -0.145	  0.015
[09:56:29.992]	 -0.115	  0.025
[09:56:30.000]	 -0.115	  0.045
[09:56:30.008]	 -0.095	  0.065
[09:56:30.016]	 -0.025	  0.045
[09:56:30.023]	 -0.065	  0.085
[09:56:30.031]	 -0.105	  0.085
[09:56:30.039]	 -0.065	  0.065
[09:56:30.047]	 -0.065	  0.075
[09:56:30.055]	 -0.035	  0.055
[09:56:30.063]	 -0.035	  0.055
[09:56:30.070]	 -0.025	  0.055
[09:56:30.078]	 -0.045	  0.045
[09:56:30.086]	 -0.075	  0.035
[09:56:30.094]	 -0.075	  0.005
[09:56:30.102]	 -0.085	 -0.005
[09:56:30.109]	 -0.085	 -0.005
[09:56:30.117]	 -0.085	 -0.005
[09:56:30.125]	 -0.075	  0.005
[09:56:30.133]	 -0.055	 -0.025
[09:56:30.141]	 -0.105	 -0.025
[09:56:30.148]	 -0.095	 -0.005
[09:56:30.156]	 -0.105	  0.005
[09:56:30.164]	 -0.095	  0.005
[09:56:30.172]	 -0.095	 -0.005
[09:56:30.180]	 -0.085	 -0.015
[09:56:30.188]	 -0.085	 -0.005
[09:56:30.195]	 -0.085	 -0.005
[09:56:30.203]	 -0.075	 -0.005
[09:56:30.211]	 -0.075	 -0.005
[09:56:30.219]	 -0.065	  0.005
[09:56:30.227]	 -0.045	  0.015
[09:56:30.234]	 -0.025	  0.015
[09:56:30.242]	 -0.005	  0.045
[09:56:30.250]	 -0.015	  0.025
[09:56:30.258]	 -0.025	  0.025
[09:56:30.266]	  0.005	  0.025
[09:56:30.273]	  0.005	  0.015
[09:56:30.281]	  0.005	  0.025
[09:56:30.289]	 -0.015	  0.005
[09:56:30.297]	 -0.055	 -0.015
[09:56:30.305]	 -0.095	 -0.015
[09:56:30.313]	 -0.105	 -0.025
[09:56:30.320]	 -0.105	 -0.025
[09:56:30.328]	 -0.115	 -0.035
[09:56:30.336]	 -0.115	 -0.035
[09:56:30.344]	 -0.155	  0.005
[09:56:30.352]	 -0.155	  0.165
[09:56:30.359]	  0.105	  0.285
[09:56:30.367]	  0.545	  0.225
[09:56:30.375]	  0.835	 -0.145
[09:56:30.383]	  0.295	 -0.595
[09:56:30.391]	 -0.035	 -0.385
[09:56:30.398]	 -0.145	 -0.145
[09:56:30.406]	 -0.135	 -0.065
[09:56:30.414]	 -0.165	 -0.045
[09:56:30.422]	 -0.155	 -0.035
[09:56:30.430]	 -0.185	 -0.015
[09:56:30.438]	 -0.195	 -0.015
[09:56:30.445]	 -0.175	 -0.015
[09:56:30.453]	 -0.175	 -0.005
[09:56:30.461]	 -0.165	 -0.005
[09:56:30.469]	 -0.155	 -0.005
[09:56:30.477]	 -0.165	  0.005
[09:56:30.484]	 -0.165	  0.005
[09:56:30.492]	 -0.155	  0.005
[09:56:30.500]	 -0.155	  0.005
[09:56:30.508]	 -0.145	  0.015
[09:56:30.516]	 -0.115	  0.015
[09:56:30.523]	 -0.145	  0.025
[09:56:30.531]	 -0.105	  0.025
[09:56:30.539]	 -0.135	  0.035
[09:56:30.547]	 -0.135	  0.045
[09:56:30.555]	 -0.115	  0.055
[09:56:30.563]	 -0.095	  0.065
[09:56:30.570]	 -0.085	  0.065
[09:56:30.578]	 -0.055	  0.065
[09:56:30.586]	 -0.045	  0.075
[09:56:30.594]	 -0.045	  0.065
[09:56:30.602]	 -0.035	  0.065
[09:56:30.609]	 -0.025	  0.065
[09:56:30.617]	 -0.035	  0.045
[09:56:30.625]	 -0.025	  0.055
[09:56:30.633]	 -0.035	  0.045
[09:56:30.641]	 -0.045	  0.045
[09:56:30.648]	 -0.065	  0.025
[09:56:30.656]	 -0.035	  0.015
[09:56:30.664]	 -0.105	  0.005
[09:56:30.672]	 -0.105	  0.015
[09:56:30.680]	 -0.075	 -0.005
[09:56:30.688]	 -0.105	  0.005
[09:56:30.695]	 -0.095	 -0.005
[09:56:30.703]	 -0.085	 -0.005
[09:56:30.711]	 -0.095	 -0.005
[09:56:30.719]	 -0.085	  0.005
[09:56:30.727]	 -0.075	  0.005
[09:56:30.734]	 -0.075	  0.005
[09:56:30.742]	 -0.075	  0.005
[09:56:30.750]	 -0.065	  0.005
[09:56:30.758]	 -0.055	  0.015
[09:56:30.766]	 -0.075	  0.005
[09:56:30.773]	 -0.065	  0.015
[09:56:30.781]	 -0.055	  0.015
[09:56:30.789]	 -0.075	  0.025
[09:56:30.797]	 -0.045	  0.035
[09:56:30.805]	 -0.025	  0.045
[09:56:30.813]	 -0.005	  0.045
[09:56:30.820]	  0.005	  0.025
[09:56:30.828]	  0.035	  0.025
[09:56:30.836]	  0.025	  0.025
[09:56:30.844]	  0.015	  0.025
[09:56:30.852]	  0.005	  0.025
[09:56:30.859]	 -0.035	  0.005
[09:56:30.867]	 -0.065	 -0.005
[09:56:30.875]	 -0.075	 -0.025
[09:56:30.883]	 -0.115	 -0.025
[09:56:30.891]	 -0.115	 -0.025
[09:56:30.898]	 -0.095	 -0.025
[09:56:30.906]	 -0.145	 -0.015
[09:56:30.914]	 -0.185	  0.075
[09:56:30.922]	 -0.085	  0.265
[09:56:30.930]	  0.355	  0.275
[09:56:30.938]	  0.785	  0.075
[09:56:30.945]	  0.595	 -0.455
[09:56:30.953]	  0.045	 -0.475
[09:56:30.961]	 -0.095	 -0.205
[09:56:30.969]	 -0.125	 -0.075
[09:56:30.977]	 -0.145	 -0.035
[09:56:30.984]	 -0.155	 -0.025
[09:56:30.992]	 -0.165	 -0.015
[09:56:31.000]	 -0.165	 -0.015
[09:56:31.008]	 -0.165	 -0.015
[09:56:31.016]	 -0.175	 -0.005
[09:56:31.023]	 -0.175	 -0.005
[09:56:31.031]	 -0.155	 -0.005
[09:56:31.039]	 -0.165	  0.005
[09:56:31.047]	 -0.165	  0.005
[09:56:31.055]	 -0.165	  0.005
[09:56:31.063]	 -0.155	  0.005
[09:56:31.070]	 -0.145	  0.005
[09:56:31.078]	 -0.145	  0.015
[09:56:31.086]	 -0.145	  0.025
[09:56:31.094]	 -0.135	  0.025
[09:56:31.102]	 -0.125	  0.035
[09:56:31.109]	 -0.095	  0.045
[09:56:31.117]	 -0.105	  0.055
[09:56:31.125]	 -0.095	  0.075
[09:56:31.133]	 -0.105	  0.085
[09:56:31.141]	 -0.085	  0.075
[09:56:31.148]	 -0.055	  0.085
[09:56:31.156]	 -0.035	  0.075
[09:56:31.164]	 -0.035	  0.075
[09:56:31.172]	 -0.025	  0.075
[09:56:31.180]	 -0.015	  0.065
[09:56:31.188]	 -0.015	  0.065
[09:56:31.195]	 -0.025	  0.045
[09:56:31.203]	 -0.035	  0.045
[09:56:31.211]	 -0.055	  0.025
[09:56:31.219]	 -0.065	  0.025
[09:56:31.227]	 -0.075	  0.005
[09:56:31.234]	 -0.095	 -0.005
[09:56:31.242]	 -0.085	 -0.015
[09:56:31.250]	 -0.095	 -0.015
[09:56:31.258]	 -0.095	 -0.015
[09:56:31.266]	 -0.085	 -0.005
[09:56:31.273]	 -0.095	 -0.015
[09:56:31.281]	 -0.085	 -0.015
[09:56:31.289]	 -0.085	 -0.005
[09:56:31.297]	 -0.085	 -0.005
[09:56:31.305]	 -0.085	 -0.005
[09:56:31.313]	 -0.085	 -0.005
[09:56:31.320]	 -0.095	 -0.005
[09:56:31.328]	 -0.085	 -0.005
[09:56:31.336]	 -0.095	 -0.005
[09:56:31.344]	 -0.075	 -0.005
[09:56:31.352]	 -0.075	  0.005
[09:56:31.359]	 -0.065	  0.015
[09:56:31.367]	 -0.045	  0.025
[09:56:31.375]	 -0.025	  0.025
[09:56:31.383]	 -0.015	  0.035
[09:56:31.391]	  0.005	  0.025
[09:56:31.398]	  0.015	  0.015
[09:56:31.406]	  0.025	  0.005
[09:56:31.414]	  0.005	  0.015
[09:56:31.422]	  0.005	  0.005
[09:56:31.430]	 -0.045	 -0.005
[09:56:31.438]	 -0.085	 -0.025
[09:56:31.445]	 -0.115	 -0.035
[09:56:31.453]	 -0.115	 -0.035
[09:56:31.461]	 -0.125	 -0.035
[09:56:31.469]	 -0.115	 -0.035
[09:56:31.477]	 -0.125	 -0.035
[09:56:31.484]	 -0.175	  0.035
[09:56:31.492]	 -0.115	  0.215
[09:56:31.500]	  0.255	  0.265
[09:56:31.508]	  0.655	  0.185
[09:56:31.516]	  0.795	 -0.265
[09:56:31.523]	  0.165	 -0.515
[09:56:31.531]	 -0.085	 -0.285
[09:56:31.539]	 -0.085	 -0.095
[09:56:31.547]	 -0.175	 -0.055
[09:56:31.555]	 -0.175	 -0.045
[09:56:31.563]	 -0.175	 -0.055
[09:56:31.570]	 -0.175	 -0.035
[09:56:31.578]	 -0.165	 -0.035
[09:56:31.586]	 -0.175	 -0.035
[09:56:31.594]	 -0.165	 -0.025
[09:56:31.602]	 -0.165	 -0.025
[09:56:31.609]	 -0.165	 -0.015
[09:56:31.617]	 -0.165	 -0.015
[09:56:31.625]	 -0.155	 -0.005
[09:56:31.633]	 -0.145	 -0.005
[09:56:31.641]	 -0.145	 -0.005
[09:56:31.648]	 -0.145	  0.005
[09:56:31.656]	 -0.135	  0.005
[09:56:31.664]	 -0.135	  0.015
[09:56:31.672]	 -0.135	  0.025
[09:56:31.680]	 -0.125	  0.025
[09:56:31.688]	 -0.105	  0.035
[09:56:31.695]	 -0.085	  0.055
[09:56:31.703]	 -0.095	  0.065
[09:56:31.711]	 -0.075	  0.075
[09:56:31.719]	 -0.065	  0.075
[09:56:31.727]	 -0.045	  0.085
[09:56:31.734]	 -0.035	  0.085
[09:56:31.742]	 -0.015	  0.085
[09:56:31.750]	 -0.005	  0.075
[09:56:31.758]	 -0.005	  0.055
[09:56:31.766]	 -0.015	  0.045
[09:56:31.773]	 -0.035	  0.035
[09:56:31.781]	 -0.045	  0.025
[09:56:31.789]	 -0.075	  0.005
[09:56:31.797]	 -0.085	 -0.005
[09:56:31.805]	 -0.105	 -0.025
[09:56:31.813]	 -0.095	 -0.025
[09:56:31.820]	 -0.095	 -0.035
[09:56:31.828]	 -0.105	 -0.035
[09:56:31.836]	 -0.095	 -0.025
[09:56:31.844]	 -0.115	 -0.025
[09:56:31.852]	 -0.115	 -0.025
[09:56:31.859]	 -0.105	 -0.025
[09:56:31.867]	 -0.105	 -0.035
[09:56:31.875]	 -0.105	 -0.025
[09:56:31.883]	 -0.105	 -0.025
[09:56:31.891]	 -0.085	 -0.025
[09:56:31.898]	 -0.095	 -0.025
[09:56:31.906]	 -0.095	 -0.025
[09:56:31.914]	 -0.095	 -0.025
[09:56:31.922]	 -0.095	 -0.015
[09:56:31.930]	 -0.095	 -0.025
[09:56:31.938]	 -0.075	 -0.015
[09:56:31.945]	 -0.045	  0.005
[09:56:31.953]	 -0.065	  0.015
[09:56:31.961]	 -0.045	  0.015
[09:56:31.969]	 -0.025	  0.015
[09:56:31.977]	 -0.005	  0.005
[09:56:31.984]	 -0.005	 -0.005
[09:56:31.992]	 -0.005	 -0.005
[09:56:32.000]	 -0.005	 -0.005
[09:56:32.008]	 -0.005	 -0.005
[09:56:32.016]	 -0.055	 -0.025
[09:56:32.023]	 -0.095	 -0.045
[09:56:32.031]	 -0.105	 -0.045
[09:56:32.039]	 -0.115	 -0.055
[09:56:32.047]	 -0.095	 -0.055
[09:56:32.055]	 -0.115	 -0.035
[09:56:32.063]	 -0.135	 -0.045
[09:56:32.070]	 -0.195	  0.065
[09:56:32.078]	 -0.055	  0.255
[09:56:32.086]	  0.375	  0.245
[09:56:32.094]	  0.795	 -0.015
[09:56:32.102]	  0.445	 -0.535
[09:56:32.109]	 -0.005	 -0.455
[09:56:32.117]	 -0.105	 -0.185
[09:56:32.125]	 -0.135	 -0.095
[09:56:32.133]	 -0.165	 -0.065
[09:56:32.141]	 -0.165	 -0.045
[09:56:32.148]	 -0.175	 -0.045
[09:56:32.156]	 -0.175	 -0.035
[09:56:32.164]	 -0.175	 -0.035
[09:56:32.172]	 -0.165	 -0.025
[09:56:32.180]	 -0.175	 -0.015
[09:56:32.188]	 -0.165	 -0.025
[09:56:32.195]	 -0.175	 -0.005
[09:56:32.203]	 -0.185	 -0.015
[09:56:32.211]	 -0.165	 -0.005
[09:56:32.219]	 -0.165	 -0.005
[09:56:32.227]	 -0.165	 -0.005
[09:56:32.234]	 -0.165	  0.005
[09:56:32.242]	 -0.155	  0.005
[09:56:32.250]	 -0.145	  0.015
[09:56:32.258]	 -0.135	  0.015
[09:56:32.266]	 -0.115	  0.035
[09:56:32.273]	 -0.125	  0.055
[09:56:32.281]	 -0.105	  0.055
[09:56:32.289]	 -0.095	  0.075
[09:56:32.297]	 -0.095	  0.085
[09:56:32.305]	 -0.065	  0.085
[09:56:32.313]	 -0.045	  0.095
[09:56:32.320]	 -0.035	  0.085
[09:56:32.328]	 -0.025	  0.085
[09:56:32.336]	 -0.025	  0.075
[09:56:32.344]	 -0.025	  0.075
[09:56:32.352]	 -0.045	  0.055
[09:56:32.359]	 -0.055	  0.045
[09:56:32.367]	 -0.075	  0.035
[09:56:32.375]	 -0.085	  0.015
[09:56:32.383]	 -0.105	 -0.005
[09:56:32.391]	 -0.105	 -0.005
[09:56:32.398]	 -0.115	 -0.005
[09:56:32.406]	 -0.105	 -0.015
[09:56:32.414]	 -0.115	 -0.015
[09:56:32.422]	 -0.115	 -0.005
[09:56:32.430]	 -0.115	 -0.015
[09:56:32.438]	 -0.095	 -0.005
[09:56:32.445]	 -0.125	 -0.015
[09:56:32.453]	 -0.105	 -0.005
[09:56:32.461]	 -0.115	  0.005
[09:56:32.469]	 -0.125	 -0.005
[09:56:32.477]	 -0.115	 -0.005
[09:56:32.484]	 -0.105	 -0.005
[09:56:32.492]	 -0.105	  0.005
[09:56:32.500]	 -0.105	 -0.005
[09:56:32.508]	 -0.095	 -0.005
[09:56:32.516]	 -0.105	  0.005
[09:56:32.523]	 -0.105	  0.005
[09:56:32.531]	 -0.095	  0.005
[09:56:32.539]	 -0.075	  0.005
[09:56:32.547]	 -0.075	  0.015
[09:56:32.555]	 -0.045	  0.025
[09:56:32.563]	 -0.025	  0.035
[09:56:32.570]	 -0.005	  0.045
[09:56:32.578]	 -0.025	  0.025
[09:56:32.586]	 -0.015	  0.025
[09:56:32.594]	 -0.025	  0.015
[09:56:32.602]	 -0.015	  0.025
[09:56:32.609]	 -0.045	  0.005
[09:56:32.617]	 -0.085	 -0.015
[09:56:32.625]	 -0.105	 -0.015
[09:56:32.633]	 -0.115	 -0.015
[09:56:32.641]	 -0.115	 -0.025
[09:56:32.648]	 -0.135	 -0.025
[09:56:32.656]	 -0.135	 -0.025
[09:56:32.664]	 -0.175	  0.045
[09:56:32.672]	 -0.135	  0.245
[09:56:32.680]	  0.215	  0.315
[09:56:32.688]	  0.675	  0.205
[09:56:32.695]	  0.765	 -0.295
[09:56:32.703]	  0.125	 -0.525
[09:56:32.711]	 -0.115	 -0.245
[09:56:32.719]	 -0.155	 -0.085
[09:56:32.727]	 -0.175	 -0.035
[09:56:32.734]	 -0.195	 -0.015
[09:56:32.742]	 -0.195	 -0.025
[09:56:32.750]	 -0.195	 -0.015
[09:56:32.758]	 -0.185	 -0.005
[09:56:32.766]	 -0.185	 -0.005
[09:56:32.773]	 -0.185	  0.005
[09:56:32.781]	 -0.185	  0.005
[09:56:32.789]	 -0.185	  0.015
[09:56:32.797]	 -0.185	  0.015
[09:56:32.805]	 -0.185	  0.015
[09:56:32.813]	 -0.165	  0.015
[09:56:32.820]	 -0.145	  0.025
[09:56:32.828]	 -0.165	  0.035
[09:56:32.836]	 -0.165	  0.035
[09:56:32.844]	 -0.175	  0.055
[09:56:32.852]	 -0.155	  0.065
[09:56:32.859]	 -0.155	  0.055
[09:56:32.867]	 -0.135	  0.075
[09:56:32.875]	 -0.115	  0.085
[09:56:32.883]	 -0.105	  0.095
[09:56:32.891]	 -0.085	  0.115
[09:56:32.898]	 -0.065	  0.115
[09:56:32.906]	 -0.045	  0.115
[09:56:32.914]	 -0.035	  0.125
[09:56:32.922]	 -0.025	  0.125
[09:56:32.930]	 -0.015	  0.115
[09:56:32.938]	 -0.015	  0.105
[09:56:32.945]	 -0.025	  0.085
[09:56:32.953]	 -0.035	  0.085
[09:56:32.961]	 -0.055	  0.055
[09:56:32.969]	 -0.065	  0.035
[09:56:32.977]	 -0.075	  0.015
[09:56:32.984]	 -0.115	  0.015
[09:56:32.992]	 -0.125	  0.005
[09:56:33.000]	 -0.125	  0.005
[09:56:33.008]	 -0.115	  0.005
[09:56:33.016]	 -0.115	 -0.005
[09:56:33.023]	 -0.105	  0.015
[09:56:33.031]	 -0.115	 -0.005
[09:56:33.039]	 -0.115	  0.005
[09:56:33.047]	 -0.105	  0.005
[09:56:33.055]	 -0.115	 -0.005
[09:56:33.063]	 -0.105	  0.005
[09:56:33.070]	 -0.105	  0.005
[09:56:33.078]	 -0.085	  0.015
[09:56:33.086]	 -0.095	  0.015
[09:56:33.094]	 -0.075	  0.015
[09:56:33.102]	 -0.105	  0.015
[09:56:33.109]	 -0.125	  0.015
[09:56:33.117]	 -0.115	  0.015
[09:56:33.125]	 -0.105	  0.005
[09:56:33.133]	 -0.105	  0.005
[09:56:33.141]	 -0.095	  0.005
[09:56:33.148]	 -0.095	  0.005
[09:56:33.156]	 -0.075	  0.025
[09:56:33.164]	 -0.065	  0.035
[09:56:33.172]	 -0.055	  0.045
[09:56:33.180]	 -0.045	  0.045
[09:56:33.188]	 -0.015	  0.025
[09:56:33.195]	  0.005	  0.025
[09:56:33.203]	  0.015	  0.025
[09:56:33.211]	 -0.025	  0.025
[09:56:33.219]	 -0.045	  0.035
[09:56:33.227]	 -0.075	  0.005
[09:56:33.234]	 -0.085	  0.005
[09:56:33.242]	 -0.115	 -0.005
[09:56:33.250]	 -0.125	 -0.005
[09:56:33.258]	 -0.125	 -0.015
[09:56:33.266]	 -0.125	 -0.015
[09:56:33.273]	 -0.125	 -0.015
[09:56:33.281]	 -0.165	  0.055
[09:56:33.289]	 -0.135	  0.255
[09:56:33.297]	  0.205	  0.345
[09:56:33.305]	  0.635	  0.275
[09:56:33.313]	  0.675	 -0.305
[09:56:33.320]	  0.095	 -0.495
[09:56:33.328]	 -0.035	 -0.185
[09:56:33.336]	 -0.155	 -0.065
[09:56:33.344]	 -0.185	 -0.025
[09:56:33.352]	 -0.195	 -0.015
[09:56:33.359]	 -0.195	 -0.015
[09:56:33.367]	 -0.195	 -0.005
[09:56:33.375]	 -0.195	 -0.005
[09:56:33.383]	 -0.195	 -0.005
[09:56:33.391]	 -0.175	  0.005
[09:56:33.398]	 -0.185	  0.005
[09:56:33.406]	 -0.175	  0.015
[09:56:33.414]	 -0.175	  0.015
[09:56:33.422]	 -0.175	  0.025
[09:56:33.430]	 -0.175	  0.025
[09:56:33.438]	 -0.155	  0.025
[09:56:33.445]	 -0.145	  0.045
[09:56:33.453]	 -0.185	  0.045
[09:56:33.461]	 -0.165	  0.045
[09:56:33.469]	 -0.175	  0.055
[09:56:33.477]	 -0.155	  0.065
[09:56:33.484]	 -0.145	  0.085
[09:56:33.492]	 -0.125	  0.095
[09:56:33.500]	 -0.115	  0.105
[09:56:33.508]	 -0.095	  0.115
[09:56:33.516]	 -0.075	  0.135
[09:56:33.523]	 -0.055	  0.125
[09:56:33.531]	 -0.055	  0.125
[09:56:33.539]	 -0.035	  0.125
[09:56:33.547]	 -0.015	  0.125
[09:56:33.555]	 -0.005	  0.105
[09:56:33.563]	 -0.015	  0.115
[09:56:33.570]	 -0.055	  0.095
[09:56:33.578]	 -0.075	  0.065
[09:56:33.586]	 -0.085	  0.055
[09:56:33.594]	 -0.085	  0.045
[09:56:33.602]	 -0.115	  0.025
[09:56:33.609]	 -0.115	  0.015
[09:56:33.617]	 -0.125	  0.005
[09:56:33.625]	 -0.115	  0.005
[09:56:33.633]	 -0.115	 -0.005
[09:56:33.641]	 -0.125	  0.005
[09:56:33.648]	 -0.115	  0.015
[09:56:33.656]	 -0.115	  0.005
[09:56:33.664]	 -0.125	  0.005
[09:56:33.672]	 -0.115	  0.005
[09:56:33.680]	 -0.125	  0.005
[09:56:33.688]	 -0.125	  0.015
[09:56:33.695]	 -0.105	 -0.005
[09:56:33.703]	 -0.085	  0.015
[09:56:33.711]	 -0.135	  0.025
[09:56:33.719]	 -0.125	  0.015
[09:56:33.727]	 -0.115	  0.015
[09:56:33.734]	 -0.115	  0.015
[09:56:33.742]	 -0.115	  0.005
[09:56:33.750]	 -0.105	  0.015
[09:56:33.758]	 -0.115	  0.015
[09:56:33.766]	 -0.105	  0.015
[09:56:33.773]	 -0.105	  0.015
[09:56:33.781]	 -0.085	  0.025
[09:56:33.789]	 -0.065	  0.035
[09:56:33.797]	 -0.045	  0.035
[09:56:33.805]	 -0.045	  0.045
[09:56:33.813]	 -0.025	  0.035
[09:56:33.820]	 -0.005	  0.035
[09:56:33.828]	 -0.005	  0.035
[09:56:33.836]	 -0.015	  0.045
[09:56:33.844]	 -0.035	  0.025
[09:56:33.852]	 -0.075	  0.015
[09:56:33.859]	 -0.105	 -0.005
[09:56:33.867]	 -0.115	 -0.005
[09:56:33.875]	 -0.125	 -0.005
[09:56:33.883]	 -0.125	 -0.005
[09:56:33.891]	 -0.125	 -0.005
[09:56:33.898]	 -0.135	  0.005
[09:56:33.906]	 -0.165	  0.155
[09:56:33.914]	  0.045	  0.395
[09:56:33.922]	  0.555	  0.405
[09:56:33.930]	  0.745	 -0.165
[09:56:33.938]	  0.125	 -0.575
[09:56:33.945]	 -0.055	 -0.275
[09:56:33.953]	 -0.105	 -0.075
[09:56:33.961]	 -0.135	 -0.035
[09:56:33.969]	 -0.155	 -0.005
[09:56:33.977]	 -0.165	  0.005
[09:56:33.984]	 -0.155	  0.015
[09:56:33.992]	 -0.155	  0.015
[09:56:34.000]	 -0.155	  0.015
[09:56:34.008]	 -0.155	  0.035
[09:56:34.016]	 -0.145	  0.035
[09:56:34.023]	 -0.155	  0.035
[09:56:34.031]	 -0.145	  0.035
[09:56:34.039]	 -0.145	  0.045
[09:56:34.047]	 -0.145	  0.055
[09:56:34.055]	 -0.145	  0.055
[09:56:34.063]	 -0.135	  0.065
[09:56:34.070]	 -0.125	  0.075
[09:56:34.078]	 -0.125	  0.075
[09:56:34.086]	 -0.135	  0.095
[09:56:34.094]	 -0.125	  0.105
[09:56:34.102]	 -0.115	  0.125
[09:56:34.109]	 -0.085	  0.145
[09:56:34.117]	 -0.075	  0.165
[09:56:34.125]	 -0.055	  0.175
[09:56:34.133]	 -0.035	  0.175
[09:56:34.141]	 -0.015	  0.185
[09:56:34.148]	 -0.005	  0.195
[09:56:34.156]	  0.015	  0.195
[09:56:34.164]	  0.005	  0.185
[09:56:34.172]	  0.015	  0.165
[09:56:34.180]	 -0.005	  0.145
[09:56:34.188]	 -0.015	  0.115
